Id,DSM_PH4_RE,POINT_X,POINT_Y
0,3.08005000000,390840.11394200000,6438485.69083000000
0,3.18938000000,390840.81212700000,6438484.97492000000
0,3.22552000000,390841.51031200000,6438484.25900000000
0,3.18352000000,390842.20849800000,6438483.54308000000
0,3.14853000000,390842.90668300000,6438482.82717000000
0,6.41748000000,390843.60486800000,6438482.11125000000
0,7.48325000000,390844.30305400000,6438481.39533000000
0,7.69660000000,390845.00123900000,6438480.67941000000
0,5.02437000000,390845.69942400000,6438479.96350000000
0,3.55558000000,390846.39761000000,6438479.24758000000
0,3.38397000000,390847.09579500000,6438478.53166000000
0,9.49259000000,390847.79398000000,6438477.81575000000
0,11.39780000000,390848.49216600000,6438477.09983000000
0,11.34520000000,390849.19035100000,6438476.38391000000
0,11.08100000000,390849.88853700000,6438475.66800000000
0,10.87560000000,390850.58672200000,6438474.95208000000
0,10.63940000000,390851.28490700000,6438474.23616000000
0,10.41620000000,390851.98309300000,6438473.52024000000
0,10.21840000000,390852.68127800000,6438472.80433000000
0,9.95973000000,390853.37946300000,6438472.08841000000
0,9.78347000000,390854.07764900000,6438471.37249000000
0,9.53920000000,390854.77583400000,6438470.65658000000
0,4.78237000000,390855.47401900000,6438469.94066000000
0,3.49624000000,390856.17220500000,6438469.22474000000
0,3.43688000000,390856.87039000000,6438468.50883000000
0,3.44768000000,390857.56857500000,6438467.79291000000
0,3.41446000000,390858.26676100000,6438467.07699000000
0,3.43867000000,390858.96494600000,6438466.36107000000
0,3.38915000000,390859.66313100000,6438465.64516000000
0,3.33765000000,390860.36131700000,6438464.92924000000
0,3.36652000000,390861.05950200000,6438464.21332000000
0,3.36081000000,390861.75768800000,6438463.49741000000
0,3.38981000000,390862.45587300000,6438462.78149000000
0,3.41620000000,390863.15405800000,6438462.06557000000
0,3.40886000000,390863.85224400000,6438461.34965000000
0,3.41568000000,390864.55042900000,6438460.63374000000
0,5.01955000000,390865.24861400000,6438459.91782000000
0,5.70497000000,390865.94680000000,6438459.20190000000
0,5.06983000000,390866.64498500000,6438458.48599000000
0,5.77519000000,390867.34317000000,6438457.77007000000
0,5.90652000000,390868.04135600000,6438457.05415000000
0,6.01349000000,390868.73954100000,6438456.33824000000
0,6.10997000000,390869.43772600000,6438455.62232000000
0,6.21139000000,390870.13591200000,6438454.90640000000
0,6.35808000000,390870.83409700000,6438454.19048000000
0,3.20510000000,390871.53228200000,6438453.47457000000
0,3.18307000000,390872.23046800000,6438452.75865000000
0,3.15757000000,390872.92865300000,6438452.04273000000
0,3.15871000000,390873.62683800000,6438451.32682000000
0,3.14741000000,390874.32502400000,6438450.61090000000
0,3.18403000000,390875.02320900000,6438449.89498000000
0,3.15416000000,390875.72139500000,6438449.17906000000
0,3.16070000000,390876.41958000000,6438448.46315000000
0,3.16811000000,390877.11776500000,6438447.74723000000
0,3.23834000000,390877.81595100000,6438447.03131000000
